id,seed,time,nodes,length,straight
1,12732,16.159,1694,3922.02,3535.53
2,166301,26.146,734,5389.16,3535.53
3,364025,9.781,1039,3833.92,3535.53
4,24574,6.754,359,3982.98,3535.53
5,739483,34.892,1327,6747.64,3535.53
6,302271,3.727,237,4074.11,3535.53
7,249592,17.178,986,5123.49,3535.53
8,527734,5.035,236,3838.34,3535.53
9,946892,61.728,3397,5249.42,3535.53
10,614232,31.068,2240,5123.48,3535.53
11,530091,17.21,783,5763.83,3535.53
12,985305,23.428,1609,4852.35,3535.53
13,235571,7.522,585,4020.66,3535.53
14,635523,25.63,1099,5091.09,3535.53
15,953477,7.599,487,4337.95,3535.53
16,348883,16.697,1382,4030.94,3535.53
17,730968,33.489,1763,4529.27,3535.53
18,173670,156.1113,1961,8134.55,3535.53
19,334019,8.961,411,5025.61,3535.53
20,948001,24.902,913,4995.61,3535.53
21,701642,131.15,2375,6569.91,3535.53
22,736268,5.722,363,3869.2,3535.53
23,653569,12.324,1172,3848.86,3535.53
24,75502,7.426,478,4089.48,3535.53
25,357932,6.09,500,3894.84,3535.53
26,212744,9.355,405,4705.54,3535.53
27,715286,28.115,1909,4611.52,3535.53
28,53236,29.562,1953,4973.57,3535.53
29,206450,6.419,328,4675.48,3535.53
30,645753,19.62,605,5658.73,3535.53
31,467385,11.334,594,4612.6,3535.53
32,152268,31.018,1775,4988.73,3535.53
33,859917,10.409,453,4015.78,3535.53
34,625362,11.266,903,4047.02,3535.53
35,690297,322.126,4006,6713.67,3535.53
36,909290,5.022,260,4018.86,3535.53
37,481489,17.685,1260,4949.36,3535.53
38,935756,42.159,2584,4731.65,3535.53
39,386440,71.635,2427,5874.63,3535.53
40,895935,72.469,4260,4406.04,3535.53
41,864892,26.251,1235,5149.23,3535.53
42,277866,5.855,282,4823.5,3535.53
43,567486,249.43707,5182,7173.2,3535.53
44,644687,20.123,622,4404.19,3535.53
45,274542,30.939,1857,4805.29,3535.53
46,164167,61.713,3149,4911.82,3535.53
47,654288,5.142,299,3964.76,3535.53
48,729855,18.191,1390,4382.87,3535.53
49,212664,11.088,954,4237.27,3535.53
50,381895,24.299,1470,4972.02,3535.53
51,836133,15.263,1212,4522.62,3535.53
52,495726,8.61,399,4286.54,3535.53
53,444428,5.506,342,4107.52,3535.53
54,646571,11.514,882,4218.37,3535.53
55,344744,27.466,1565,5122.75,3535.53
56,473617,3.844,225,3844.06,3535.53
57,3513,15.818,809,5281.98,3535.53
58,547992,32.931,1795,5712.9,3535.53
59,615601,138.494,2871,7048.14,3535.53
60,463201,103.052,6701,5200.06,3535.53
61,674456,306.44306,8867,6260.04,3535.53
62,567364,38.28303,3197,7253.68,3535.53
63,314919,208.55718,4842,7115.02,3535.53
64,241240,6.514,400,4187.31,3535.53
65,726404,4.24,258,3844.97,3535.53
66,483375,301.4792,2285,5740.41,3535.53
67,417008,25.481,1827,4533.29,3535.53
68,574265,42.047,1515,5742.96,3535.53
69,646396,9.915,767,4149.41,3535.53
70,407244,38.46,2976,4985.46,3535.53
71,392164,24.474,1837,4365.22,3535.53
72,544360,62.576,3382,5523.68,3535.53
73,864110,24.546,1064,4945.83,3535.53
74,601695,139.206,8740,5762.16,3535.53
75,81349,322.829,6929,6379.09,3535.53
76,429529,48.221,2560,4875.95,3535.53
77,242374,16.974,949,4578.98,3535.53
78,712958,29.335,1459,5086.3,3535.53
79,284229,42.491,1054,6095.83,3535.53
80,92714,27.531,1569,6038.2,3535.53
81,372957,18.006,1085,4642.66,3535.53
82,180123,10.752,703,5142.94,3535.53
83,770603,5.768,301,4171.15,3535.53
84,701362,21.825,1795,4922.05,3535.53
85,179648,16.794,884,4757.44,3535.53
86,806898,44.59,1273,5472.59,3535.53
87,701294,10.66,423,4420.38,3535.53
88,187053,24.454,1398,5321.21,3535.53
89,631838,7.086,473,4140.6,3535.53
90,143293,17.694,989,5345.9,3535.53
91,416591,43.674,1227,6590.61,3535.53
92,739503,46.391,2766,5866.95,3535.53
93,237209,39.163,2536,5279.76,3535.53
94,79124,16.768,1072,4912.09,3535.53
95,776509,35.381,3357,4334.98,3535.53
96,184938,9.102,633,4981.69,3535.53
97,911396,54.984,2058,5209.37,3535.53
98,805041,14.512,779,5323.22,3535.53
99,407544,77.622,3261,5658.98,3535.53
100,440410,23.925,1966,4711.68,3535.53
101,328706,41.54,3599,4859.42,3535.53
102,441436,88.818,1746,5273.04,3535.53
103,172969,3.983,261,3863.91,3535.53
104,484468,16.988,1475,3919.8,3535.53
105,453932,11.794,978,4049.09,3535.53
106,936717,191.351,10622,5859.63,3535.53
107,288867,67.481,4809,5543.24,3535.53
108,761665,32.35,1790,5951.14,3535.53
109,111712,81.281,2616,5964.52,3535.53
110,839369,9.345,608,4465.48,3535.53
111,941899,37.457,1844,4554.37,3535.53
112,272468,14.948,1008,4468.98,3535.53
113,677735,60.092,2511,5285.79,3535.53
114,303914,12.542,1193,4378.66,3535.53
115,544287,15.13,1109,4305.25,3535.53
116,96030,14.19,631,4764.09,3535.53
117,68853,48.833,1025,5603.15,3535.53
118,332403,13.561,389,5617.49,3535.53
119,195804,106.71993,3727,7632.44,3535.53
120,547051,7.295,413,4970.53,3535.53
121,787003,4.88,325,3959.25,3535.53
122,837365,16.147,753,5357.12,3535.53
123,125245,18.825,1679,4656.54,3535.53
124,525973,5.836,433,4140.06,3535.53
125,840743,28.286,1956,4897.7,3535.53
126,436506,31.347,3322,4793.78,3535.53
127,922563,6.597,409,3804.16,3535.53
128,224391,5.585,318,4483.93,3535.53
129,505564,15.468,1509,4197.81,3535.53
130,560597,4.096,262,3755.08,3535.53
131,574079,3.943,258,3782.34,3535.53
132,640743,36.982,1212,5699.63,3535.53
133,997776,29.676,1642,4845.9,3535.53
134,145676,13.833,1105,4458.96,3535.53
135,458780,22.583,1777,4809.43,3535.53
136,444633,8.739,425,4642.45,3535.53
137,955091,4.669,254,3751.84,3535.53
138,819074,15.21,1067,4629.64,3535.53
139,221412,6.551,343,4253.58,3535.53
140,108165,4.829,286,4102.07,3535.53
141,762024,78.958,2997,5900.22,3535.53
142,324841,14.153,754,5002.52,3535.53
143,292227,4.861,255,3890.84,3535.53
144,119694,10.529,502,5371.11,3535.53
145,779613,18.245,1389,4704.16,3535.53
146,3213,125.358,1069,5885.43,3535.53
147,292250,27.845,2086,5209.53,3535.53
148,45305,15.303,1218,4307.48,3535.53
149,65651,25.184,1649,4767.71,3535.53
150,104655,6.954,272,4345.52,3535.53
151,234484,13.724,1096,4392.1,3535.53
152,424203,8.125,485,4735.34,3535.53
153,885814,103.789,6996,4961.14,3535.53
154,487217,11.68,686,5714.7,3535.53
155,125514,18.668,1802,4462.64,3535.53
156,920685,11.695,555,4643.74,3535.53
157,997123,11.867,535,5219.02,3535.53
158,67713,12.969,495,5623.37,3535.53
159,674327,6.347,501,3873.35,3535.53
160,669419,23.446,2048,4773.85,3535.53
161,437516,41.485,1520,5051.05,3535.53
162,360450,75.05,2812,7038.04,3535.53
163,810567,38.812,1362,5745.56,3535.53
164,351956,7.498,673,3895.04,3535.53
165,696964,22.777,2463,3960.89,3535.53
166,768951,121.9,4486,5957.03,3535.53
167,782836,154.942,999,6213.43,3535.53
168,308234,7.181,349,3996.41,3535.53
169,597326,39.647,2875,5080.3,3535.53
170,467289,23.708,609,5689.44,3535.53
171,695132,281.221584,6648,6657.43,3535.53
172,401690,38.498,755,6187.67,3535.53
173,928390,136.791,6041,6648.78,3535.53
174,619358,31.6,2002,4989.31,3535.53
175,646165,8.629,423,4372.57,3535.53
176,353655,56.433,4331,5617.15,3535.53
177,482306,30.933,1559,5579.11,3535.53
178,782655,37.578,2397,4608.48,3535.53
179,161987,17.064,1595,4149.26,3535.53
180,836377,4.163,216,3755.43,3535.53
181,634450,35.559,2479,5515.75,3535.53
182,298579,46.776,637,4765.24,3535.53
183,272769,34.324,2108,5212.94,3535.53
184,557143,40.429,891,4232.76,3535.53
185,362685,40.969,3355,5071.11,3535.53
186,665592,76.851,4066,4167.42,3535.53
187,469807,59.737,4686,5118.12,3535.53
188,465215,24.322,1709,5904.02,3535.53
189,857701,102.485,3635,5873.56,3535.53
190,309792,30.859,1521,5060.64,3535.53
191,108782,25.274,2172,4737.95,3535.53
192,592654,18.087,992,4585.2,3535.53
193,282031,19.942,1549,4486.54,3535.53
194,185174,14.918,738,5256.05,3535.53
195,75764,150.671,1336,5325.22,3535.53
196,343699,6.118,375,4198.88,3535.53
197,793882,9.175,685,4881.02,3535.53
198,378396,82.269,2892,6161.26,3535.53
199,703418,12.731,1068,4265.97,3535.53
200,706556,7.249,490,4460.99,3535.53
201,109693,8.664,647,3815.24,3535.53
202,867972,224.82117,4770,8121.44,3535.53
203,862651,17.086,1064,4886.95,3535.53
204,369768,94.153,6578,5871.82,3535.53
205,907218,6.66,511,3877.17,3535.53
206,837877,4.425,266,3807.9,3535.53
207,553326,13.755,1077,4284.89,3535.53
208,261847,35.717,2303,5004.53,3535.53
209,468916,7.007,460,4645.78,3535.53
210,193571,8.602,427,4406.89,3535.53
211,730521,27.594,1769,5381.15,3535.53
212,783630,76.956,5455,4508.08,3535.53
213,323287,9.683,779,4260,3535.53
214,437621,18.454,1234,4865.09,3535.53
215,600574,29.674,2080,5460.23,3535.53
216,482193,38.4,2516,4653.07,3535.53
217,831996,67.283,3161,5379.47,3535.53
218,675470,84.92364,1905,7423.38,3535.53
219,946806,289.95894648,6898,7386.81,3535.53
220,137295,14.973,1227,3919.47,3535.53
221,325468,34.943,2066,4878.58,3535.53
222,343992,92.047,1809,5348.7,3535.53
223,107747,11.749,588,5473.33,3535.53
224,554467,26.57,2548,4195.81,3535.53
225,314983,50.167,2521,5647.93,3535.53
226,938844,15.041,649,4675.7,3535.53
227,683458,11.838,778,4495.19,3535.53
228,719119,67.609,2163,4728.14,3535.53
229,178651,5.216,302,4078.05,3535.53
