id,seed,time,nodes,length,straight
1,12732,32.57,1551,4722.2049,3535.53
2,166301,59.578,1249,5970.7602885,3535.53
3,364025,10.494,510,4647.3104055,3535.53
4,24574,41.768,1196,5929.568925,3535.53
5,739483,266.06,10569,7937.124657,3535.53
6,302271,374.678,18857,4651.67696175,3535.53
7,249592,254.15,11456,5761.46025,3535.53
8,527734,88.652,3510,4682.326446,3535.53
9,946892,359.444,16985,6133.891638,3535.53
10,614232,11.334,486,4757.1972,3535.53
11,530091,228.518,11149,5522.1266835,3535.53
12,985305,21.852,852,5162.20444425,3535.53
13,235571,62.692,2682,4406.127075,3535.53
14,635523,392.766,16358,6622.944342,3535.53
15,953477,152.426,7547,4901.9474175,3535.53
16,348883,24.028,971,5464.813725,3535.53
17,730968,137.186,5283,5369.582799,3535.53
18,173670,296.24,6812,9118.34550375,3535.53
19,334019,138.244,6518,6438.134325,3535.53
20,948001,62.686,2114,5723.985372,3535.53
21,701642,176.124,5591,6670.50544125,3535.53
22,736268,200.036,9692,4457.1492,3535.53
23,653569,419.63,21614,5045.335848,3535.53
24,75502,143.144,6024,5040.711438,3535.53
25,357932,12.826,525,4525.95675,3535.53
26,212744,19.342,542,5532.7001835,3535.53
27,715286,35.166,1456,4552.03728525,3535.53
28,53236,152.398,5013,5733.231,3535.53
29,206450,534.008,18927,5254.331649,3535.53
30,645753,177.748,6549,5773.059978,3535.53
31,467385,14.582,577,5103.54915,3535.53
32,152268,149.292,5745,5553.7203015,3535.53
33,859917,410.826,19269,5232.23373225,3535.53
34,625362,12.978,400,4483.393425,3535.53
35,690297,25.542,818,6291.4545435,3535.53
36,909290,650.43,22864,5319.09224175,3535.53
37,481489,179.354,6859,6735.349425,3535.53
38,935756,56,2090,5627.787669,3535.53
39,386440,175.362,7323,6269.8199655,3535.53
40,895935,353.92,8845,4411.1844,3535.53
41,864892,87.998,3861,5237.498637,3535.53
42,277866,138.878,3734,5428.5232785,3535.53
43,567486,343.826,11929,6850.7901,3535.53
44,644687,139.732,6499,4885.062735,3535.53
45,274542,319.402,14869,5410.06045125,3535.53
46,164167,154.984,6123,5018.96115,3535.53
47,654288,282.43,13848,5242.3730205,3535.53
48,729855,41.868,2227,5133.0769455,3535.53
49,212664,272.056,12847,5298.350925,3535.53
50,381895,279.846,12493,5783.9265435,3535.53
51,836133,127.942,4781,4633.96415475,3535.53
52,495726,245.814,13311,4422.805275,3535.53
53,444428,155.314,7544,5063.01474,3535.53
54,646571,125.11,4373,4941.92452425,3535.53
55,344744,247.728,9370,5755.325625,3535.53
56,473617,126.926,5563,4857.212136,3535.53
57,3513,282.598,10683,5893.40226825,3535.53
58,547992,227.302,11164,5362.30065,3535.53
59,615601,148.954,3725,8128.230096,3535.53
60,463201,64.21,3000,5225.59656675,3535.53
61,674456,341.914,14152,6509.54535,3535.53
62,567364,292.478,13883,6823.5342105,3535.53
63,314919,543.722,19178,7233.7501005,3535.53
64,241240,325.46,13039,4595.332875,3535.53
65,726404,162.768,6629,4591.0665675,3535.53
66,483375,659.628,4759,9308.306112,3535.53
67,417008,126.258,5954,5134.581375,3535.53
68,574265,463.822,19702,6067.28577,3535.53
69,646396,79.768,3041,4451.22634425,3535.53
70,407244,215.668,9510,4955.7795,3535.53
71,392164,35.466,1589,4986.1771155,3535.53
72,544360,379.048,12297,5804.375892,3535.53
73,864110,258.334,14158,5415.04845,3535.53
74,601695,446.808,12576,6428.307354,3535.53
75,81349,315.114,11314,6422.310384,3535.53
76,429529,39.162,1216,4898.752425,3535.53
77,242374,61.736,1879,5336.297421,3535.53
78,712958,195.752,7007,5487.5385705,3535.53
79,284229,29.314,809,6199.08345,3535.53
80,92714,330.168,16961,5753.3691285,3535.53
81,372957,94.138,6114,5066.8285815,3535.53
82,180123,84.246,4333,5103.978075,3535.53
83,770603,127.864,4411,4655.72352,3535.53
84,701362,71.46,3166,5447.982708,3535.53
85,179648,288.158,10982,6022.216725,3535.53
86,806898,123.828,3531,5806.8287445,3535.53
87,701294,64.852,1570,5835.7534515,3535.53
88,187053,473.206,21393,5833.988475,3535.53
89,631838,26.216,788,5346.1413495,3535.53
90,143293,291.672,14132,5161.536618,3535.53
91,416591,27.566,602,6595.898925,3535.53
92,739503,198.31,9170,7869.5917125,3535.53
93,237209,148.788,6709,6126.58664625,3535.53
94,79124,68.714,2816,5435.178,3535.53
95,776509,188.932,8483,5086.022676,3535.53
96,184938,110.836,3982,5007.9365805,3535.53
97,911396,89.238,1472,4657.437225,3535.53
98,805041,113.874,4609,5504.8284375,3535.53
99,407544,249.486,8839,6142.932978,3535.53
100,440410,225.736,12559,4714.80345,3535.53
101,328706,336.226,16661,6360.256308,3535.53
102,441436,15.188,542,5224.17872025,3535.53
103,172969,12.748,433,4542.7746,3535.53
104,484468,201.182,9421,4653.7674225,3535.53
105,453932,32.978,1698,4767.07733775,3535.53
106,936717,110.592,3532,6300.180075,3535.53
107,288867,37.652,1030,6410.7659175,3535.53
108,761665,68.564,3041,5220.19231125,3535.53
109,111712,371.802,20485,8511.6675,3535.53
110,839369,159.702,6371,5581.1479605,3535.53
111,941899,307.98,15902,4874.885043,3535.53
112,272468,381.584,7731,4725.107625,3535.53
113,677735,360.176,15077,8313.414375,3535.53
114,303914,202.314,10405,5065.9655445,3535.53
115,544287,177.098,8442,6959.288175,3535.53
116,96030,129.6,5307,5713.1898285,3535.53
117,68853,133.406,5108,5461.69883175,3535.53
118,332403,132.782,2500,5131.938,3535.53
119,195804,416.124,13420,7539.2332785,3535.53
120,547051,16.706,549,6750.2849925,3535.53
121,787003,348.246,18438,5098.60155,3535.53
122,837365,13.846,572,5877.258828,3535.53
123,125245,191.454,8639,4987.62438825,3535.53
124,525973,75.346,2991,4677.506925,3535.53
125,840743,271.344,10379,6266.998038,3535.53
126,436506,197,8948,5174.06092875,3535.53
127,922563,22.034,1157,4479.6528,3535.53
128,224391,236.324,11718,5769.726333,3535.53
129,505564,31.754,1387,4740.44648175,3535.53
130,560597,189.662,7800,4263.9933,3535.53
131,574079,29.626,1047,5314.6111725,3535.53
132,640743,31.474,1178,5002.83027825,3535.53
133,997776,380.586,20423,4919.3109,3535.53
134,145676,10.74,491,4592.472843,3535.53
135,458780,220.994,10604,5378.60069775,3535.53
136,444633,10.646,434,5010.931275,3535.53
137,955091,164.404,8905,4905.7973685,3535.53
138,819074,28.028,1104,4855.774938,3535.53
139,221412,65.97,3017,6074.066775,3535.53
140,108165,26.432,870,4717.2084225,3535.53
141,762024,119.226,3448,5843.5207845,3535.53
142,324841,213.756,8315,4984.278075,3535.53
143,292227,110.892,5439,4652.2236915,3535.53
144,119694,151.738,4952,7206.24593325,3535.53
145,779613,11.362,376,4594.6047,3535.53
146,3213,426.546,2508,6581.6125305,3535.53
147,292250,158.614,5002,7874.62699275,3535.53
148,45305,361.872,18266,5046.25275,3535.53
149,65651,208.548,7270,6053.857425,3535.53
150,104655,67.004,2987,5483.45969325,3535.53
151,234484,392.706,19838,5981.46885,3535.53
152,424203,37.928,1534,5161.8240975,3535.53
153,885814,74.626,3714,6082.01694975,3535.53
154,487217,247.394,6752,5516.83335,3535.53
155,125514,13.498,629,5066.905788,3535.53
156,920685,220.212,9337,5579.287623,3535.53
157,997123,86.868,4817,4548.2409,3535.53
158,67713,379.562,18134,6299.923917,3535.53
159,674327,178.728,6926,4879.241325,3535.53
160,669419,100.354,3103,4871.61045,3535.53
161,437516,11.4,399,5255.8013655,3535.53
162,360450,46.516,1832,6394.1383905,3535.53
163,810567,78.424,2443,5869.579275,3535.53
164,351956,135.628,4527,4716.077058,3535.53
165,696964,116.46,6070,4769.183559,3535.53
166,768951,25.498,767,6112.550325,3535.53
167,782836,385.366,4407,7834.159914,3535.53
168,308234,255.166,12373,5620.5695595,3535.53
169,597326,13.836,533,4860.987075,3535.53
170,467289,19.762,783,5977.093815,3535.53
