id,seed,time,nodes,length,straight
1,12732,8.2575,624,4065.101,3535.53
2,166301,79.8825,1555,5826.9263,3535.53
3,364025,16.2855,1473,4192.3266,3535.53
4,24574,43.5885,1318,4184.7973,3535.53
5,739483,339.27030375,12970,7182.9625,3535.53
6,302271,65.7735,4592,4187.6916,3535.53
7,249592,104.655,4606,5562.824,3535.53
8,527734,6.0495,361,3954.2627,3535.53
9,946892,101.43,4512,4993.955,3535.53
10,614232,20.466,1366,5053.1182,3535.53
11,530091,88.4865,3129,5647.7681,3535.53
12,985305,51.9255,3600,4993.9241,3535.53
13,235571,37.8135,2798,4478.9035,3535.53
14,635523,18.6465,759,5580.3855,3535.53
15,953477,7.3395,445,4264.9622,3535.53
16,348883,7.9185,404,4325.7837,3535.53
17,730968,10.6785,714,4742.6762,3535.53
18,173670,321.4029,3319,7530.7008,3535.53
19,334019,25.65,1563,5721.9384,3535.53
20,948001,66.774,2569,5093.6384,3535.53
21,701642,146.7435,2096,6565.5187,3535.53
22,736268,7.6125,381,4050.6707,3535.53
23,653569,14.865,1010,4277.5076,3535.53
24,75502,7.866,507,4483.4355,3535.53
25,357932,6.6525,450,4190.4932,3535.53
26,212744,19.5705,948,5207.886,3535.53
27,715286,33.399,2263,4568.0603,3535.53
28,53236,62.832,4518,4900.3074,3535.53
29,206450,9.507,415,4738.7931,3535.53
30,645753,30.0075,1066,5604.1682,3535.53
31,467385,51.753,2714,4874.8355,3535.53
32,152268,34.197,1344,4782.3003,3535.53
33,859917,22.524,1808,4240.3967,3535.53
34,625362,9.441,393,4198.589,3535.53
35,690297,56.331,1730,5754.0641,3535.53
36,909290,8.487,419,4357.8991,3535.53
37,481489,14.8845,724,5729.0557,3535.53
38,935756,41.0685,3253,5381.1835,3535.53
39,386440,88.4445,3648,5368.4733,3535.53
40,895935,29.7375,2479,4470.3442,3535.53
41,864892,89.952,4908,5076.4992,3535.53
42,277866,16.266,866,4895.7548,3535.53
43,567486,287.40117,6291,7792.6916,3535.53
44,644687,15.813,1014,4704.628,3535.53
45,274542,29.232,1404,4895.1162,3535.53
46,164167,30.213,1973,4990.5457,3535.53
47,654288,12.669,733,4234.1755,3535.53
48,729855,35.742,2861,4712.7032,3535.53
